brand_id,brand_name,brand_industry,brand_budget,brand_email,influencer_id,influencer_name,influencer_category,followers_count,engagement_rate,trending_points,avg_views,avg_likes,avg_comments,past_campaign_success
108,"Dunn, Black and Young",Fashion,1796817,gonzalezbecky@example.com,1108,Jessica Howell,Lifestyle,287647,2.8,69,198348,4665,1769,0.64
109,Mann-Smith,Entertainment,231319,pamelablackburn@example.org,1109,Scott Davis,Lifestyle,477575,3.0,84,76501,10212,1990,0.91
110,Webster-Ross,Apparel,1475553,schneiderashley@example.com,1110,Melissa Hale,Travel,567748,5.2,63,266368,27819,2231,0.54
111,"Medina, Martin and Coleman",Automotive,1254361,dbarker@example.com,1111,Jennifer Young,Automotive,474541,2.8,89,431945,29362,2782,0.85
112,Lynch-Gutierrez,Apparel,1218727,robin73@example.org,1112,Jessica Jones,Automotive,132301,3.4,64,326819,45158,2272,0.55
113,"Mann, Nguyen and Scott",Automotive,1343434,lauragonzales@example.org,1113,Alicia Simpson,Sports,16940,2.4,75,100299,39473,2009,0.76
114,Martinez-Pratt,Apparel,1613447,hgentry@example.com,1114,Stephen Palmer,Travel,249197,2.3,85,151961,26667,643,0.56
115,Mayo Ltd,Fashion,1800784,russell51@example.com,1115,Jeffery Walsh,Sports,414211,2.1,65,470669,6118,530,0.63
116,"Escobar, Leonard and Moore",Apparel,525228,moorekari@example.org,1116,Thomas Williams,Lifestyle,971238,4.4,92,247527,21124,2594,0.69
117,"Barry, Collier and Snyder",Beverages,811017,gallagherrodney@example.org,1117,Michael Salazar,Food,874930,2.2,76,322016,3243,1074,0.61
118,Smith LLC,Apparel,483301,colinsanchez@example.org,1118,Kyle Thompson,Fitness,17898,5.1,51,239183,30311,2354,0.76
119,Williams and Sons,Automotive,1412418,todd40@example.org,1119,Candice Fischer,Tech,440479,3.7,51,473897,38977,641,0.84
120,"Paul, Wagner and Woods",Beverages,1585791,kristiesimon@example.net,1120,Kara Weber,Tech,712112,2.4,57,105528,27130,2294,0.91
121,Smith-Bailey,Automotive,1295050,darrenellis@example.org,1121,Chase Williams,Fitness,584341,4.9,72,140082,47484,572,0.62
122,"Gallegos, Dominguez and Carrillo",Food & Beverage,1598698,jeffrey90@example.net,1122,Gabriela Webb,Travel,643901,2.5,64,40195,11557,1441,0.88
123,Welch-Cordova,Apparel,371411,johnsonjeanne@example.net,1123,David Howard DDS,Lifestyle,77967,5.6,60,205300,17884,2249,0.87
124,Hess Ltd,Fashion,179513,bruce70@example.net,1124,Joshua Luna,Lifestyle,454382,3.7,61,327597,3346,2438,0.76
125,Phillips PLC,Apparel,185549,roberto18@example.org,1125,Ana Lyons,Travel,930258,2.4,53,99153,9746,2490,0.75
126,"Hall, Coleman and Wilson",Beverages,1622543,carneycarlos@example.net,1126,Kiara Lee,Sports,407694,5.2,95,309505,38370,256,0.6
127,James Ltd,Entertainment,1454666,narnold@example.org,1127,Jessica Mcdonald,Automotive,132342,6.0,54,452907,46427,519,0.61
128,"Hood, Velasquez and Sanchez",Automotive,1690280,timothy57@example.net,1128,Maria Rasmussen,Tech,210734,3.9,86,366049,49754,2291,0.81
129,Stevenson Ltd,Apparel,1352776,mjackson@example.com,1129,Frank Hoover,Lifestyle,846966,4.2,74,27124,38505,2993,0.66
130,"Hickman, Miller and Jackson",Food & Beverage,1936877,saundersbrittney@example.com,1130,Annette Eaton,Fashion,152891,2.1,86,197790,3997,607,0.69
131,"Hall, Hall and Wilson",Health & Wellness,1983150,jillsoto@example.org,1131,Scott Gonzalez,Tech,396385,4.9,61,393640,36161,553,0.71
132,Johnson LLC,Fashion,1842306,eschultz@example.org,1132,David Robinson,Lifestyle,431253,2.6,94,456602,39099,1907,0.8
133,Patterson-Austin,Automotive,615987,gregorynancy@example.org,1133,Daniel Morris,Sports,397695,5.1,52,283644,2687,867,0.74
134,Lucero Group,Fashion,1230172,patriciamcgrath@example.com,1134,William Ramsey,Food,393602,5.0,81,465415,6668,191,0.86
135,"Dennis, Hill and Terrell",Beverages,1261410,kimberlygonzales@example.org,1135,Charles Thomas,Automotive,596266,2.4,77,253346,30627,2166,0.75
136,Grimes Ltd,Apparel,1112336,jcook@example.com,1136,Amanda Jones,Sports,816041,4.2,74,180544,24570,1573,0.69
137,"Murphy, Mcgee and Rogers",Beverages,1223418,robersongregory@example.org,1137,Anthony Byrd IV,Fashion,958850,3.5,71,345710,8739,2947,0.63
138,Green-Miller,Health & Wellness,1496476,hilldeborah@example.com,1138,Lisa Alvarado,Food,11645,6.0,77,192884,33794,2064,0.58
139,Arias-Evans,Beverages,841925,kpierce@example.com,1139,Christopher Norris,Food,39823,5.3,95,276965,39852,1281,0.94
140,Bush LLC,Health & Wellness,1149706,mwood@example.org,1140,Rachel Glover,Travel,13657,3.5,78,268952,12253,2714,0.89
141,"Jones, Beard and Henderson",Food & Beverage,82804,pacemichael@example.com,1141,William Jackson,Fitness,675632,3.0,60,22179,36978,903,0.83
142,"Schultz, Kim and Alvarez",Technology,122205,uhorne@example.com,1142,Patricia George,Automotive,759092,2.6,91,88641,35118,1338,0.89
143,Navarro-Anderson,Automotive,879241,scott81@example.com,1143,Nathaniel Mcguire,Food,475622,4.4,69,120249,30535,204,0.52
144,Shannon Inc,Health & Wellness,342860,danielgonzalez@example.net,1144,Gary Wilson,Tech,956046,3.9,85,199980,45481,1869,0.93
145,Ferguson-Nguyen,Beverages,669242,evasquez@example.org,1145,Derek Arnold,Automotive,467489,5.4,78,24246,47065,261,0.75
146,"Williamson, Ortiz and Chase",Automotive,1474156,ugomez@example.org,1146,Kimberly Glenn,Food,907855,4.4,63,146532,42148,2590,0.56
147,Cunningham-Hall,Automotive,648364,higginsrichard@example.net,1147,Amanda Maxwell,Fitness,694118,3.4,88,8588,3018,689,0.56
148,Lee-Lutz,Apparel,305020,ukeller@example.com,1148,Rebecca Franklin,Lifestyle,195687,5.8,78,293834,26441,1078,0.71
149,Beasley Ltd,Automotive,1629677,mannjorge@example.net,1149,Angela Ramos,Automotive,797650,2.1,73,479961,48727,2509,0.92
150,Haley-Macias,Automotive,1871400,williamsutton@example.org,1150,Patrick Johnson,Food,140345,5.9,63,213459,26066,2054,0.78
151,Lee-Brown,Food & Beverage,1705863,alvarezwesley@example.com,1151,Michael Cunningham,Tech,488897,5.2,55,257067,19222,1040,0.8
152,"Huynh, Scott and Hill",Food & Beverage,341498,carneysheryl@example.org,1152,Michael Lee,Lifestyle,556176,5.1,63,219861,47998,993,0.72
153,Weber Group,Beverages,285543,lisataylor@example.net,1153,Steven Evans,Lifestyle,872299,2.5,54,453206,31901,1532,0.63
154,Stone Group,Automotive,310946,lisa92@example.com,1154,Dr. Sara Gamble,Fitness,755454,4.2,87,254658,32729,2980,0.63
155,Williams-Gomez,Food & Beverage,496539,eolson@example.com,1155,Christopher Olson,Food,387136,4.2,79,366311,49613,2754,0.62
156,Miller-Hernandez,Health & Wellness,302946,josefischer@example.org,1156,Michael Olson,Fashion,565767,2.7,69,154190,34319,1638,0.92
157,"Baker, Booth and Novak",Fashion,608075,kaitlinsantana@example.org,1157,Melissa Harris,Fitness,565913,3.2,66,180859,38642,2802,0.74
158,Mckinney LLC,Apparel,1444240,rileymichelle@example.com,1158,John Bowman,Tech,820192,3.8,69,29666,17474,833,0.87
159,Wong-Dixon,Beverages,1351539,marywhite@example.com,1159,Amber Mathis,Fashion,622184,4.0,63,314387,44308,1817,0.89
160,"Jones, Villa and Bowman",Beverages,738237,pspears@example.net,1160,Joseph Sims,Tech,800256,3.4,62,494373,16744,2553,0.86
161,Martinez PLC,Fashion,967867,hhaas@example.org,1161,Mr. Joseph Short MD,Food,948714,3.9,77,236429,35663,1248,0.91
162,Madden-Brown,Technology,1342730,ortizjennifer@example.net,1162,Madison Adams,Lifestyle,610560,5.7,89,283034,5959,1566,0.62
163,Williams Group,Apparel,345099,yadams@example.org,1163,Ebony Everett,Lifestyle,27814,5.9,95,397236,23665,2955,0.51
164,Reid-Hawkins,Health & Wellness,1417479,nbradley@example.org,1164,Mark Rios,Food,603158,3.5,52,255536,39712,1493,0.81
165,"Nguyen, Montoya and Torres",Beverages,564004,ythompson@example.com,1165,Timothy Thomas,Food,300517,5.2,90,172230,35470,549,0.83
166,Moore Ltd,Health & Wellness,1089496,washingtontara@example.net,1166,Matthew Monroe,Fitness,373360,3.8,59,234879,4668,568,0.82
167,"Huffman, Chandler and Roberts",Fashion,1158909,jason42@example.com,1167,Mr. Kenneth Nelson,Automotive,22097,3.6,91,378086,48247,1403,0.83
168,Livingston Ltd,Apparel,1636909,reynoldsrita@example.com,1168,Robert Henderson,Travel,78130,3.6,91,222213,5998,666,0.79
169,Jackson-Franklin,Entertainment,1370386,vjarvis@example.org,1169,Maurice Figueroa,Food,318781,5.1,89,104274,46149,2942,0.6
170,Stewart-Olson,Fashion,966394,meyerrenee@example.net,1170,Natalie Griffin,Sports,475157,5.0,74,166161,4486,1675,0.88
171,"French, Jones and Hoffman",Apparel,740938,nicholasdavid@example.com,1171,Jose Powers,Fashion,802206,2.8,86,392700,37607,1928,0.67
172,Rojas PLC,Entertainment,1325195,harmonjustin@example.org,1172,Angela Hammond,Sports,148010,3.2,75,298042,12633,2567,0.86
173,Weaver-Carson,Apparel,1044217,williamwhite@example.org,1173,Christine Fisher,Tech,530563,4.2,83,80039,30622,1157,0.59
174,"Paul, Fleming and Rich",Technology,608499,kristen38@example.net,1174,Erika King,Sports,844070,2.7,93,477508,17389,1307,0.81
175,Wells-Jacobs,Food & Beverage,652844,emily56@example.com,1175,Michael Henderson,Tech,508883,2.5,93,371786,9074,351,0.62
176,Coleman-Rivas,Food & Beverage,570140,craigpetersen@example.com,1176,Matthew Page,Tech,133394,2.2,92,185289,28718,2443,0.67
177,"Carroll, Hahn and Erickson",Apparel,286108,leslie26@example.org,1177,Larry Padilla,Food,859182,3.7,91,173427,38449,2669,0.68
178,Edwards-Brown,Fashion,181754,amanda09@example.com,1178,Adam Thompson,Fashion,456992,5.7,74,414237,45889,2184,0.86
179,"York, Taylor and Adams",Entertainment,1457293,andrea34@example.org,1179,Nicholas Robinson,Sports,565956,2.4,55,396576,11553,453,0.72
180,Johnson Inc,Automotive,1533927,danielle92@example.org,1180,Regina Hampton,Fitness,180471,4.3,66,66711,32659,1330,0.93
181,"Martinez, Torres and Sanchez",Apparel,598134,robertmiller@example.com,1181,Christopher Stanley,Lifestyle,11639,2.7,57,113182,17915,1445,0.59
182,Campbell-Lee,Technology,1323943,amoody@example.com,1182,Shelly Cunningham,Fashion,709397,4.8,89,477417,1136,2101,0.52
183,Weaver-Brown,Health & Wellness,1022688,wrodriguez@example.net,1183,Catherine Ball,Automotive,461826,2.9,69,60613,12061,402,0.74
184,"Ingram, Pena and Moore",Entertainment,934590,egreene@example.org,1184,Angelica Porter,Food,579176,4.4,69,393741,39833,152,0.61
185,Perez-Mills,Beverages,621317,michael94@example.com,1185,John Brooks,Fashion,271177,4.7,88,141155,11932,1091,0.76
186,Chapman-Clarke,Apparel,1349037,lisasmith@example.com,1186,Michael Clark,Tech,702615,3.9,50,474599,23622,430,0.51
187,James and Sons,Beverages,734204,ahess@example.org,1187,Kaitlin Edwards,Tech,975536,5.2,74,263395,35225,2567,0.86
188,Boyd PLC,Technology,1744943,holtbrenda@example.com,1188,Evan Foster,Fitness,339713,2.3,50,340460,28528,1582,0.72
189,Chan-Ford,Entertainment,352339,miranda78@example.org,1189,Tara Hernandez,Automotive,515564,4.6,61,489507,28775,2477,0.77
190,Smith Group,Automotive,898902,uwebb@example.net,1190,Anthony Alvarez,Lifestyle,943916,4.0,73,390122,47796,1407,0.67
191,"Long, Davis and Gonzalez",Apparel,56124,kyle83@example.org,1191,Angela Walker,Fitness,804875,4.4,61,423286,36927,1152,0.74
192,Chapman-Gutierrez,Fashion,317914,ljackson@example.net,1192,Angela Allen,Tech,57658,3.7,95,471930,2424,2543,0.76
193,Rodriguez-Rodriguez,Automotive,91337,dyerbrian@example.org,1193,Matthew Cross,Automotive,399588,2.5,69,81224,33604,2589,0.77
194,"Sanford, Anderson and Snow",Automotive,1590927,mitchellharold@example.net,1194,Maria Baker,Fashion,375193,2.5,69,422681,35355,1502,0.57
195,Maldonado and Sons,Technology,460200,coxcassandra@example.com,1195,Michael Olsen,Automotive,765619,5.7,89,292390,16847,2146,0.91
196,Graham-Mcguire,Apparel,735877,jillian59@example.org,1196,Stephanie Wilson,Fashion,368922,3.7,53,315668,9219,1874,0.62
197,Smith and Sons,Health & Wellness,335322,riversdavid@example.org,1197,Eric Harper,Travel,118680,4.6,91,117925,12675,814,0.71
198,Martin-Smith,Entertainment,401154,dunnisaiah@example.org,1198,Randy Hall,Automotive,21131,2.7,67,354965,18093,2188,0.82
